,"April 1, 2010 Estimates Base","July 1, 2019",Number,Percent,"April 1, 2010 Estimates Base","July 1, 2019",Number,Percent
Tennessee,"6,346,276","6,829,174","482,898",7.6,(X),(X),(X),(X)
".Anderson County, Tennessee","75,082","76,978","1,896",2.5,17,18,31,47
".Bedford County, Tennessee","45,057","49,713","4,656",10.3,33,32,18,14
".Benton County, Tennessee","16,491","16,160",-331,-2.0,76,76,76,77
".Bledsoe County, Tennessee","12,874","15,064","2,190",17.0,82,77,29,8
".Blount County, Tennessee","123,098","133,088","9,990",8.1,10,11,10,22
".Bradley County, Tennessee","98,926","108,110","9,184",9.3,13,13,12,18
".Campbell County, Tennessee","40,723","39,842",-881,-2.2,37,40,88,79
".Cannon County, Tennessee","13,813","14,678",865,6.3,79,79,43,27
".Carroll County, Tennessee","28,486","27,767",-719,-2.5,51,53,85,84
".Carter County, Tennessee","57,383","56,391",-992,-1.7,23,26,89,76
".Cheatham County, Tennessee","39,110","40,667","1,557",4.0,39,39,33,38
".Chester County, Tennessee","17,145","17,297",152,0.9,73,73,57,58
".Claiborne County, Tennessee","32,212","31,959",-253,-0.8,46,48,73,71
".Clay County, Tennessee","7,853","7,615",-238,-3.0,90,90,72,88
".Cocke County, Tennessee","35,642","36,004",362,1.0,42,42,52,55
".Coffee County, Tennessee","52,803","56,520","3,717",7.0,27,25,22,24
".Crockett County, Tennessee","14,576","14,230",-346,-2.4,77,80,77,82
".Cumberland County, Tennessee","56,060","60,520","4,460",8.0,25,23,19,23
".Davidson County, Tennessee","626,558","694,144","67,586",10.8,2,2,2,12
".Decatur County, Tennessee","11,750","11,663",-87,-0.7,85,86,68,69
".DeKalb County, Tennessee","18,722","20,490","1,768",9.4,68,65,32,16
".Dickson County, Tennessee","49,650","53,948","4,298",8.7,31,29,20,20
".Dyer County, Tennessee","38,330","37,159","-1,171",-3.1,41,41,90,89
".Fayette County, Tennessee","38,439","41,133","2,694",7.0,40,38,25,25
".Fentress County, Tennessee","17,962","18,523",561,3.1,72,69,49,41
".Franklin County, Tennessee","41,064","42,208","1,144",2.8,36,36,39,46
".Gibson County, Tennessee","49,687","49,133",-554,-1.1,30,33,83,72
".Giles County, Tennessee","29,476","29,464",-12,-,50,50,65,65
".Grainger County, Tennessee","22,656","23,320",664,2.9,60,61,46,44
".Greene County, Tennessee","68,825","69,069",244,0.4,19,20,55,61
".Grundy County, Tennessee","13,726","13,427",-299,-2.2,80,82,74,80
".Hamblen County, Tennessee","62,534","64,934","2,400",3.8,21,21,26,39
".Hamilton County, Tennessee","336,477","367,804","31,327",9.3,4,4,6,17
".Hancock County, Tennessee","6,811","6,620",-191,-2.8,92,92,70,87
".Hardeman County, Tennessee","27,245","25,050","-2,195",-8.1,55,59,95,94
".Hardin County, Tennessee","26,008","25,652",-356,-1.4,57,56,79,73
".Hawkins County, Tennessee","56,826","56,786",-40,-0.1,24,24,67,66
".Haywood County, Tennessee","18,807","17,304","-1,503",-8.0,67,72,91,93
".Henderson County, Tennessee","27,780","28,117",337,1.2,54,52,53,53
".Henry County, Tennessee","32,349","32,345",-4,-,45,47,64,64
".Hickman County, Tennessee","24,690","25,178",488,2.0,59,58,50,50
".Houston County, Tennessee","8,429","8,201",-228,-2.7,87,88,71,86
".Humphreys County, Tennessee","18,535","18,582",47,0.3,69,68,62,62
".Jackson County, Tennessee","11,634","11,786",152,1.3,86,85,57,52
".Jefferson County, Tennessee","51,668","54,495","2,827",5.5,29,27,24,31
".Johnson County, Tennessee","18,240","17,788",-452,-2.5,71,71,82,83
".Knox County, Tennessee","432,260","470,313","38,053",8.8,3,3,4,19
".Lake County, Tennessee","7,832","7,016",-816,-10.4,91,91,86,95
".Lauderdale County, Tennessee","27,822","25,633","-2,189",-7.9,53,57,94,92
".Lawrence County, Tennessee","41,856","44,142","2,286",5.5,35,35,28,32
".Lewis County, Tennessee","12,170","12,268",98,0.8,83,84,61,59
".Lincoln County, Tennessee","33,354","34,366","1,012",3.0,44,44,40,42
".Loudon County, Tennessee","48,561","54,068","5,507",11.3,32,28,16,10
".McMinn County, Tennessee","52,287","53,794","1,507",2.9,28,30,35,45
".McNairy County, Tennessee","26,082","25,694",-388,-1.5,56,55,80,74
".Macon County, Tennessee","22,226","24,602","2,376",10.7,62,60,27,13
".Madison County, Tennessee","98,303","97,984",-319,-0.3,14,15,75,67
".Marion County, Tennessee","28,222","28,907",685,2.4,52,51,45,48
".Marshall County, Tennessee","30,611","34,375","3,764",12.3,49,43,21,9
".Maury County, Tennessee","80,932","96,387","15,455",19.1,16,16,9,6
".Meigs County, Tennessee","11,766","12,422",656,5.6,84,83,47,30
".Monroe County, Tennessee","44,498","46,545","2,047",4.6,34,34,30,35
".Montgomery County, Tennessee","172,362","208,993","36,631",21.3,7,7,5,5
".Moore County, Tennessee","6,342","6,488",146,2.3,93,93,59,49
".Morgan County, Tennessee","21,986","21,403",-583,-2.7,64,64,84,85
".Obion County, Tennessee","31,807","30,069","-1,738",-5.5,47,49,93,91
".Overton County, Tennessee","22,082","22,241",159,0.7,63,62,56,60
".Perry County, Tennessee","7,930","8,076",146,1.8,88,89,59,51
".Pickett County, Tennessee","5,086","5,048",-38,-0.7,95,95,66,70
".Polk County, Tennessee","16,821","16,832",11,0.1,75,74,63,63
".Putnam County, Tennessee","72,339","80,245","7,906",10.9,18,17,14,11
".Rhea County, Tennessee","31,804","33,167","1,363",4.3,48,46,38,37
".Roane County, Tennessee","54,208","53,382",-826,-1.5,26,31,87,75
".Robertson County, Tennessee","66,319","71,813","5,494",8.3,20,19,17,21
".Rutherford County, Tennessee","262,588","332,285","69,697",26.5,5,5,1,4
".Scott County, Tennessee","22,232","22,068",-164,-0.7,61,63,69,68
".Sequatchie County, Tennessee","14,121","15,026",905,6.4,78,78,42,26
".Sevier County, Tennessee","89,720","98,250","8,530",9.5,15,14,13,15
".Shelby County, Tennessee","927,682","937,166","9,484",1.0,1,1,11,54
".Smith County, Tennessee","19,150","20,157","1,007",5.3,65,66,41,33
".Stewart County, Tennessee","13,313","13,715",402,3.0,81,81,51,43
".Sullivan County, Tennessee","156,800","158,348","1,548",1.0,9,9,34,56
".Sumner County, Tennessee","160,634","191,283","30,649",19.1,8,8,7,7
".Tipton County, Tennessee","61,006","61,599",593,1.0,22,22,48,57
".Trousdale County, Tennessee","7,864","11,284","3,420",43.5,89,87,23,1
".Unicoi County, Tennessee","18,311","17,883",-428,-2.3,70,70,81,81
".Union County, Tennessee","19,107","19,972",865,4.5,66,67,43,36
".Van Buren County, Tennessee","5,558","5,872",314,5.6,94,94,54,29
".Warren County, Tennessee","39,824","41,277","1,453",3.6,38,37,37,40
".Washington County, Tennessee","123,063","129,375","6,312",5.1,11,12,15,34
".Wayne County, Tennessee","17,025","16,673",-352,-2.1,74,75,78,78
".Weakley County, Tennessee","35,015","33,328","-1,687",-4.8,43,45,92,90
".White County, Tennessee","25,844","27,345","1,501",5.8,58,54,36,28
".Williamson County, Tennessee","183,277","238,412","55,135",30.1,6,6,3,2
".Wilson County, Tennessee","114,062","144,657","30,595",26.8,12,10,8,3